id,sNo,code,officeId,nameEn,nameTa,nameHi,type,openDate,district,populationGroup,riskCategory,riskEffectiveDate,specialStatus,ifsc,address,latitude,longitude,pincode,headUserId,secondLineUserId,addressHi,addressTa,email,phone,size
317c7cdc-7af5-40bc-beab-899d5a9cde51,19,1221,,Marambadi,மரம்பாடி,மரம்பாடி,Branch,1989-07-10,Dindigul,RURAL,,,,,,10.484391,77.984291,624709,7bb413a5-fdd8-4b0e-9fe5-b7556f5b88e2,94b123b8-aa3a-442a-ab40-6b6e65ebea16,,,,,MEDIUM
73da49cc-153d-49b9-adc7-3916f32face9,27,1830,,Dindigul Collectorate,திண்டுக்கல் மாவட்ட ஆட்சியர் அலுவலகம்,डिंडिगुल कलेक्ट्रेट,Branch,2007-08-27,Dindigul,URBAN,,,,,,10.392841,77.961821,624004,43dc07e8-eded-4736-9c1a-9eaf63da2d23,12618965-5381-4f0b-83b0-c4c15f1ff52b,,,,,LARGE
f4d42a8a-34e2-4bce-a251-db58cf0295d3,46,3165,,Ponnagaram,பொன்னகரம்,पोन्नगरम,Branch,2013-04-12,Dindigul,SEMI URBAN,,,,,,10.342671,77.991681,624003,19a20340-cb35-4735-8e80-5af258161ef0,186367ac-71c3-463a-accb-18fa69231bdd,,,,,MEDIUM
83e85cdc-5218-4daf-90c1-488447d9659b,33,2287,,Andipatti,ஆண்டிபட்டி,आंडीपट्टी,Branch,2011-02-10,Theni,SEMI URBAN,,,,,,9.999904,77.618681,625512,fe6c065a-af52-4d3a-9efc-f5f5827f4f0c,e7f3fe80-b126-4972-9295-4fa279991fc1,,,,,MEDIUM
3ffb62ec-0ca4-45d8-8d1f-16bec4deba1c,34,2288,,Natham,நத்தம்,नथम,Branch,2011-02-10,Dindigul,SEMI URBAN,,,,,,10.224961,78.233211,624401,6aaed725-1141-4571-9d59-3067985ba6d9,d758d028-4773-4822-a54b-39e320a78852,,,,,LARGE
1b4a38b7-ef53-4564-8cc1-8fb99efac52e,35,2461,,Vadamadurai,வடமதுரை,वडमदुरै,Branch,2011-07-13,Dindigul,SEMI URBAN,,,,,,10.443531,78.100631,624802,307755f6-5df6-4161-aea7-47151225dbf1,81481310-911e-4e5b-b51a-593fa74e1914,,,,,LARGE
32b59948-f8e1-42de-b3ba-d6444e39d1ae,36,2464,,Nilakottai,நிலக்கோட்டை,निलकोट्टै,Branch,2011-06-29,Dindigul,SEMI URBAN,,,,,,10.164821,77.853441,624208,def5e2a7-8f59-4ee7-9689-bf0b0adb6f20,8734e186-0b91-462a-bf3d-b5a89165c9f6,,,,,LARGE
70be8b7b-36f0-4a3d-b2d7-49b0f5bff802,37,2574,,Bodinayakanur,போடிநாயக்கனூர்,बोडिनायक्कனூர்,Branch,2011-11-04,Theni,SEMI URBAN,,,,,,10.010121,77.351291,625513,9626ea7e-b2cf-46af-bddc-23eb663a8cfc,8730d086-2ca0-46bb-b2e7-b67a8c0e4f9a,,,,,LARGE
260822a5-38de-4642-9ce2-f3d50f952d25,39,2686,,Chinnalapatti,சின்னாளப்பட்டி,चिन्नाळपट्टी,Branch,2012-01-22,Dindigul,SEMI URBAN,,,,,,10.285391,77.914841,624301,1e1e5fdc-1a65-4159-aa89-c958bfb2aa08,0418c6e6-0cd7-4d6b-b54d-76437e2a21ef,,,,,MEDIUM
f0dab44c-e511-4ed8-9436-d4ab1abed77f,41,2703,,PC Patti,பி.சி. பட்டி,पीसी पट्टी,Branch,2012-01-30,Theni,SEMI URBAN,,,,,,10.000561,77.467161,625531,1de3362b-69a2-49e0-9255-9ee4f2311395,1148a098-87df-468b-a3fd-38c9e8e2739c,,,,,LARGE
0c380b1b-b48f-47b2-8bd6-67b5bf24da2f,25,1560,,Chinnamanur,சின்னமனூர்,चिन्नमनூர்,Branch,2003-11-28,Theni,SEMI URBAN,,,,,,9.842196,77.380531,625515,c08844ec-9763-43b7-be31-948e463382c9,974579a1-3285-4c72-9b80-fac1e77385e7,,,,,LARGE
7eeb67c1-e05a-41c5-b819-423539f158f1,43,2705,,V Gopalpatti,வி. கோபால்பட்டி,वी गोपालपट्टी,Branch,2012-02-06,Dindigul,SEMI URBAN,,,,,,10.256011,78.121141,624308,347a300d-c9ab-4ede-9570-3f5301812e84,b05dbdac-8a1d-4914-8e55-46c9a15ff5e8,,,,,LARGE
fce29462-4317-4544-9cb3-ff8238bc6530,48,3346,,Vangamanuthu,வாங்கமானூத்து,वांगमानूथू,Branch,2013-08-03,Dindigul,RURAL,,,,,,10.352541,78.098861,624306,f2fc6a83-fd49-4aec-b2e8-c2b92fa348b6,132a96e2-95f1-4a18-8d1b-3c47c481706d,,,,,MEDIUM
58084a27-cf9f-4d44-b070-dcb27c3a6f02,49,3347,,Anaipatti,அணைப்பட்டி,अणैपट्टी,Branch,2013-08-03,Dindigul,RURAL,,,,,,10.095591,77.853351,624219,9edb1683-da0a-4bc1-ad2e-a5f9342b92ec,6dde9751-6056-4f89-af1a-f85104f26ca3,,,,,MEDIUM
3363b2e6-6116-45f0-9e9d-d9ffd99c3f24,,4153,4153,Kosavapatti,கொசவபட்டி,कोसवपट्टी,BRANCH,2026-03-25,,RURAL,MEDIUM,,,,,,,,,,कोसवपट्टी,கொசவபட்டி,,,SMALL
1744f22b-1e05-4e64-9d13-68614215e5c0,5,0232,,Pannaikadu,பண்ணைக்காடு,पन्नैकाडु,Branch,1970-06-22,Dindigul,RURAL,,,,,,10.281481,77.630011,624210,2e362031-73f8-4e66-8574-fdc7199dc040,6ab3a22b-b101-4bf3-9504-bfc22269d19f,,,,,MEDIUM
3cc2177f-b5f0-44d1-8342-4cd437892828,6,0237,,Sithayamkottai,சித்தையங்கோட்டை,सितयमकोट्टै,Branch,1970-06-29,Dindigul,SEMI URBAN,,,,,,10.2668,77.83518,624708,88ba7729-79aa-4604-870b-8fcf4a1d6c20,387e4dc9-5284-4c94-af0f-6b3770da883b,,,,,MEDIUM
7cd4d25e-f97b-4449-9eda-6a4590249fdd,9,0376,,Palani,பழனி,पलानी,Branch,1973-11-30,Dindigul,SEMI URBAN,,,,,,10.451771,77.515591,624601,60f021a5-3dc0-4b4e-9f5b-2e3869a2df8b,5a059670-55a9-45be-a0d4-ff303b7b4402,,,,,LARGE
74534fe1-9098-4180-8f8f-609f848aa1ef,20,1258,,Oddanchatram,ஒட்டன்சத்திரம்,ओट्टनछत्रम,Branch,1993-03-04,Dindigul,SEMI URBAN,,,,,,10.486021,77.746651,624619,9ab4bff2-046d-468f-969b-a7732e7db590,c65bd6a6-790d-408b-b523-baa7ae2603fa,,,,,MEDIUM
151c5a52-830c-431d-88f6-4059c627c357,11,0910,,Sembatti,செம்பட்டி,सेम्बट्टी,Branch,1980-10-23,Dindigul,SEMI URBAN,,,,,,10.282671,77.872551,624707,0c668012-4012-41a8-975b-dfe3363315c9,5bb1a907-c5f7-4b75-bd45-c81e9a0c70d6,,,,,MEDIUM
2bf0e6a8-a208-4a0a-92fb-baeb3fde3184,12,0911,,Kalwarpatti,கல்வார்பட்டி,कलवारपट्टी,Branch,1980-10-27,Dindigul,RURAL,,,,,,10.623021,77.939991,624711,661a764a-d4e5-4d4a-abd5-38024a5aeb3e,e05cb22b-0a51-4512-930e-46b249555693,,,,,MEDIUM
ea4ffcc2-ded5-435f-b8ab-c6dbd6e0fb75,23,1317,,N Paraipatti,ந. பாறைப்பட்டி,एन परैपट्टी,Branch,1984-06-09,Dindigul,RURAL,,,,,,10.420261,78.007331,624005,53834673-ff8a-4238-834d-99fef2075ad5,e5eb9494-ae86-494d-9210-0f413ca9760c,,,,,MEDIUM
6a9d503c-748e-44b7-aea5-65835c51ff6b,42,2704,,T Subbulapuram,டி. சுப்புலாபுரம்,टी सुब्बुलापुरम,Branch,2012-01-30,Theni,SEMI URBAN,,,,,,10.005381,77.649891,625536,a93fac3b-989b-45db-8dda-aba5db7afab6,ee63b039-6ea0-4274-a326-c45843d5caf3,,,,,MEDIUM
517eb11b-8923-4a66-a883-3ece9dc6ae07,30,1931,,Periyakulam,பெரியகுளம்,पेरियकुलम,Branch,2008-08-11,Theni,SEMI URBAN,,,,,,10.127351,77.550581,625601,bc5a84c9-9c59-4be7-a8a0-b4df7ad20734,d44940dd-23d7-4096-98c2-810188306d8b,,,,,MEDIUM
f7e34c11-78ed-4d49-bc12-c462a36e8f5b,17,1152,,Narikkalpatti,நரிக்கல்பட்டி,நரிக்கல்பட்டி,Branch,1987-11-30,Dindigul,RURAL,,,,,,10.541271,77.477311,624618,94eed768-a7c1-4bbb-9531-54b901b3d077,96e650e2-efbb-4f2d-9602-3f726767b87c,,,,,MEDIUM
6d50ff1e-edfd-40f5-bbce-bb7757380e3c,22,1316,,Palayam,பாளையம்,पालयम,Branch,1981-07-27,Dindigul,SEMI URBAN,,,,,,10.725311,78.137531,624620,d3479b32-8ed6-4b58-afa6-fac7eefa596a,ae954149-823a-400f-87c6-db888d103074,,,,,MEDIUM
6585161a-1dbb-4671-9cf2-8be0ca700cdd,31,2098,,RM Colony,ஆர்.எம். காலனி,आरएम कॉलोनी,Branch,1994-03-23,Dindigul,URBAN,,,,,,10.368051,77.969071,624001,506ab77a-f7be-4c8a-888c-0e2ad9f93c36,ac84756a-e7e8-48dc-adb9-35276f6bb0b9,,,,,LARGE
2f99968c-9190-4cd4-8dba-573cbb9895d3,32,2286,,Batlagundu,வத்தலகுண்டு,वतलगुंडु,Branch,2011-02-10,Dindigul,SEMI URBAN,,,,,,10.168341,77.763521,624202,21d27cf5-21dd-43fe-90df-0ea90b4e9827,4bc69c6c-9557-4cff-95c6-653e334b0306,,,,,LARGE
3b0be51e-ccf6-443f-b3c8-395c66759abe,38,2685,,Silapadi,சீலப்பாடி,सीलपाडी,Branch,2012-01-22,Dindigul,SEMI URBAN,,,,,,10.381931,78.001641,624005,f4993ef6-0a55-4ec6-bd1a-8609cd7bd664,42af782e-e8ec-4d78-9939-a0153976c4e7,,,,,LARGE
351f0472-67a5-4316-930b-f4096ffdf8c5,40,2702,,KK Patti,கே.கே. பட்டி,केके पट्टी,Branch,2012-01-30,Theni,SEMI URBAN,,,,,,9.739308,77.318021,625521,62976b6a-901c-46e8-b7c0-a8545ac986b7,e3a4a9ea-3a4c-43ff-bccf-8001a7ee42ef,,,,,MEDIUM
92ec1b33-2fd8-4ec3-a4a4-1860861756d1,45,3164,,Sendurai,செந்துறை,सेंतुरै,Branch,2013-04-07,Dindigul,SEMI URBAN,,,,,,10.391411,78.252241,624403,4a8f3d70-25c4-4f5b-b8bc-adb0afa34703,,,,,,MEDIUM
ef2372ab-02d3-4344-9934-88bbecdf7881,47,3166,,Thadikombu,தாடிக்கொம்பு,ताडिकोम्बु,Branch,2013-04-12,Dindigul,SEMI URBAN,,,,,,10.438481,77.952911,624709,54c9cb66-f35d-4e78-89e5-05d48ce3314f,b7a861aa-2510-49bf-badf-7773c2195852,,,,,MEDIUM
9a4b2029-c405-49ee-b827-b40a4203bd22,50,3436,,Kodaikanal,கொடைக்கானல்,कोडैकानल,Branch,2013-12-12,Dindigul,SEMI URBAN,,,,,,10.238661,77.496841,624101,429a3fcb-14f7-4081-9a8a-ac6afb01f12f,96ef58ad-e9a0-4b26-97fb-37a861531c6d,,,,,MEDIUM
4f2f65b0-9f03-4c12-9137-600b40de011a,13,0924,,Puduchatram,புதுச்சத்திரம்,पुदुछत्रम,Branch,1980-12-26,Dindigul,SEMI URBAN,,,,,,10.472611,77.794731,624619,808bbf69-7770-4f62-bb08-695daf0879f5,1bf87cfe-db2c-4eaf-ae32-21aa1fc38af2,,,,,MEDIUM
